jump jump,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,,,Wildcard ,
1,Bengal Tiger,,,,,,,,,,,,Zebra & Oxpecker,1,,
16,Ringtail Cat,n,,,,,,,,,,n,Batfly & Gammaproteobacteri,16,,
8,Springhare,,n,,,,,,,,n,,Aardvark & Aardvark Cucumber,8,,
9,Jackrabbit,n,,,,,,,,,,n,Goeldi's Monkey & Saddleback Tamarin & White-Lipped Tamarin,9,,
5,Serval,,,n,,,,,,n,,,Crab & Sea Turtle,5,,
12,Rock Wallaby,n,,,,,,,,,,n,Clown Fish & Sea Anenome,12,,
4,Bharal,,n,,,,,,,,n,,Wrasse & Moray Eel,4,,
13,Stoat,n,,,,,,,,,,n,Fire Coral & Algae,13,,
6,Impala,,,,n,,,,n,,,,Diana Monkey & Red Colobus,6,,
11,Klipspringer,n,,,,,,,,,,n,Bornean bat & Pitcher Plant,11,,
3,Spinner Dolphin,,n,,,,,,,,n,,Banded Mongoose & Warthog,3,,
14,Spinifex hopping mouse,n,,,,,,,,,,n,Burying beetles & phoretic mites,14,,
7,Sifaka,,,n,,,,,,n,,,Wattled Jacana & Capybara,7,,
10,9-Banded Armadillo,n,,,,,,n,,,,n,Fork-tailed drongos & sociable weaver,10,,
2,Markhor,,n,,,,,,,,n,,Coyote & Badger,2,,
15,Streaked tenrec,n,,,,,n,,,,,n,Ants & Aphids,15,,
waterfallls,,,,,,,,,,,,,,,,
1,Moose,,,,,,,,,,,,Sea Lion,1,,Antlion
16,Bulldog Bat,n,,,,,,,,,,n,Antlion,16,Antlion,Tiger Beetle 
8,Flat-Headed Cat,,n,,,n,,,,,n,,Small Spotted Cat Shark,8,,
9,Water Chevrotain,n,,,,,,,,,,n,Stonecat,9,,
5,Beaver,,,n,,,,,,n,,,Tiger Owl,5,,
12,Mink,n,,,,,,,,,,n,Panther Cameleon,12,,
4,White-lipped peccary,,n,,,,,,,,n,,Fisher Cat,4,,
13,Rakali,n,,,,,,,,,,n,Tiger Salamandar,13,,
6,Crab-Eating Fox,,,,n,,,,n,,,,Lion-Tailed Macaque,6,,
11,Moonrat,n,,,,,,,,,,n,Cat Snake,11,,
3,Lowland tapir,,n,,,,,,,,n,,Bearcat,3,,
14,Water Opposum,n,,,,,,,,,,n,Leopard Frog,14,,
7,Marine Otter,,,n,,,,,,n,,,Tiger Quoll,7,,
10,Aquatic Genet,n,,,,,,,,,,n,Green Catbird,10,,
2,Manatee,,n,,,,,,,,n,,Nimravid,2,,
15,Ring-tailed Vontsira,n,,,,,,,,,,n,Dandelion,15,,
